"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Arlington County Public Schools, Virginia",204308,16237,6206,175,154,1015,581,1047,1023,2211,10031,188071,38217,3466,1836,6306,5190,5578,7074,8767,149854,199663,15729,2721,867,1372,37,183,262,13008,6445,3411,1126,1332,694,183934,19066,13664,3086,1051,576,689,164868,120583,20445,11192,8443,4205,103208,115437,59617,24848,87856,129375,42437,99073,118146,63874,103208,75591,128024,144147,160987,162321,89038,158958,103208,57427,104595,128560,72304,142746,153394,96393,103208,142746,81603,106890,106991,112969,139244,163571,57845,24205,89593,151250,41453,156500,171802,66933,139244,130597,145575,161563,160259,88606,145074,139244,60038,96838,170171,146719,139244,144859,134552,139244,160729,171567,154230,61466,76993,62461,80927,52726,35053,71293,62018,72342,35318,29150,47803,58061,19946,40455,76539,29000,94454,3149,1522,1627,91305,4437,86868,136946,60989,75957,73283,36586,36697,8741,5237,3504,37405,11115,26290,6864,1859,5005,3477,1759,1718,7176,4433,2743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34472,34409,7779,4672,1971,6341,4710,4540,4396,63,34400,1019,996,469,527,23,33381,33342,26575,1312,5455,39,94454,43512,34726,8786,3021,5765,50942,38256,12686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161322,10837,6957,996,4759,442,334,426,3880,1582,1361,450,257,230,14611,9453,4318,2894,701,827,713,5158,3599,724,274,385,176,20250,15035,9642,2588,980,988,837,5215,3664,568,378,320,285,115624,98511,80011,6719,6591,4013,1177,17113,12634,965,1304,1689,521,42654,34003,7977,1868,6109,352,25674,8651,26141470800,20741454800,5400016000,42654,34003,618,1101,1197,4358,26322,407,8651,417,391,128,675,6875,165,5053,4952,5390,42654,34003,9626,24377,8651,2152,6499,209310,17520,11705,7996,6271,5815,20292,14465,12140,4921,5827,23693,19601,18583,3595,4092,24352,21427,20846,3101,2925,123453,119226,117987,9750,4227,214861,207416,153109,17966,1191,20501,168,14481,7445,1695,5750,7163,1093,562,3086,314,2108,258,24
"Augusta County Public Schools, Virginia",67768,6317,1304,35,139,301,264,434,129,2,5013,61451,13094,787,737,2712,3278,3201,1923,456,48357,66393,6018,1272,1059,155,10,0,48,4746,4485,128,117,0,16,60375,10335,9906,331,98,0,0,50040,48918,577,413,107,25,52027,52909,34615,23673,9779,NA,27464,48343,52842,58425,52027,26007,54017,64583,72000,64984,78300,83419,52027,26619,57860,61282,37551,56446,70803,40201,52027,56446,32899,49245,43250,34980,60614,61218,49561,23673,22232,NA,26607,48983,61246,41375,60614,53521,63879,72775,67647,78550,66821,60614,36266,45366,74010,92344,60614,62531,58990,60614,66355,75460,61807,35845,46339,33796,53403,30279,25126,39415,25519,26578,10942,18822,15497,8343,11225,7901,26713,12818,27999,2156,974,1182,25843,1936,23907,33404,27797,5607,28783,24062,4721,2253,1955,298,86,37,49,504,227,277,440,342,98,1338,1174,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15342,15261,2174,1403,1090,2114,2575,3018,2887,81,15261,539,518,219,299,21,14722,14722,11463,906,2353,0,27999,20511,16589,3922,1323,2599,7488,6536,952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52831,8332,2739,2504,164,35,36,0,5593,5509,66,18,0,0,21938,12943,12775,129,30,9,0,8995,8855,21,87,25,7,12074,8181,8028,77,60,16,0,3893,3783,31,32,22,25,10487,7631,7414,95,93,29,0,2856,2768,29,43,0,16,22662,13887,3580,783,2797,72,10235,8775,5263069700,3386575900,1876493800,22662,13887,4541,6339,1297,795,698,217,8775,3234,3430,804,258,296,753,952,984,902,22662,13887,5481,8406,8775,2643,6132,69772,9217,7103,3789,5442,2114,18258,15806,12465,7045,2452,16146,14305,13038,3529,1841,11884,11157,10515,2100,727,14267,13623,13165,1904,644,73726,73152,68628,3057,199,379,53,836,574,72,502,512,169,106,141,3,93,62,0
"Bath County Public Schools, Virginia",4531,710,218,0,38,41,74,65,0,0,492,3821,585,0,44,135,118,199,63,26,3236,4313,655,204,204,0,0,0,0,451,420,31,0,0,0,3658,480,480,0,0,0,0,3178,3129,49,0,0,0,51365,52241,42026,NA,NA,NA,NA,NA,52957,NA,51365,34390,54450,63654,NA,NA,NA,NA,51365,72525,44712,60234,40446,53067,65066,36302,51365,53067,41472,NA,NA,NA,55112,55357,NA,NA,NA,NA,NA,NA,55625,NA,55112,53975,66447,2499,NA,NA,NA,55112,21111,49712,65714,NA,55112,59637,53800,55112,58625,64471,56004,48343,125093,NA,NA,27540,5417,NA,28704,25317,99243,NA,NA,NA,NA,NA,26140,4653,2101,167,121,46,1934,151,1783,2223,1692,531,1852,1480,372,205,135,70,0,0,0,120,48,72,0,0,0,46,29,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006,1006,104,218,38,181,115,197,153,0,1006,150,131,0,131,19,856,856,618,38,200,0,2101,1355,1104,251,104,147,746,677,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3443,343,85,82,3,0,0,0,258,258,0,0,0,0,1394,937,927,10,0,0,0,457,434,23,0,0,0,1012,758,732,26,0,0,0,254,254,0,0,0,0,694,506,494,12,0,0,0,188,188,0,0,0,0,1600,861,123,27,96,7,731,739,295271200,188088200,107183000,1600,861,436,301,0,25,26,73,739,356,241,45,29,29,39,768,754,790,1600,861,452,409,739,202,537,4566,794,655,369,572,139,1198,1006,867,234,192,1427,1306,1125,378,121,251,251,251,52,0,896,842,842,255,54,4686,4605,4362,240,0,0,0,3,81,0,81,81,61,0,0,20,0,0,0
"Bedford County Public Schools, Virginia",66993,5399,1510,118,34,429,293,267,344,25,3889,61594,14755,823,644,3089,3270,3448,2792,689,46839,65520,5135,1061,971,64,0,26,0,4074,3856,171,20,17,10,60385,10516,10103,200,173,40,0,49869,48505,438,479,352,95,57596,59279,43068,66250,44808,NA,NA,55658,59319,77250,57596,26096,59489,73187,90430,87304,75637,94449,57596,28521,64744,69700,37358,63569,74793,42692,57596,63569,33672,65089,54250,50714,69792,70149,50128,105729,101875,NA,NA,100761,70160,83333,69792,59364,72641,89278,88682,76745,94412,69792,35581,52339,82403,97269,69792,71970,67307,69792,75991,86355,71130,38719,50655,39621,54028,35746,27281,45179,28697,29388,22001,34251,22435,51400,105,17993,29606,19146,27233,2145,793,1352,25088,1520,23568,32601,27956,4645,27090,23667,3423,3540,2568,972,130,100,30,202,202,0,325,227,98,1314,1192,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15036,15020,1850,1498,592,2703,2614,2908,2855,16,15020,1004,959,219,740,45,14016,14016,11419,484,2113,0,27233,19905,16600,3305,1038,2267,7328,6118,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49442,6131,2431,2341,34,23,9,24,3700,3636,46,0,18,0,16112,9792,9617,75,55,33,12,6320,6241,44,25,0,10,14853,10248,9992,142,75,39,0,4605,4404,71,73,16,41,12346,9037,8603,157,122,155,0,3309,3163,13,69,64,0,23157,14751,3295,570,2725,77,11379,8406,5435941500,3658358900,1777582700,23157,14751,5123,5772,1892,936,848,180,8406,3426,2784,715,499,426,556,969,1005,897,23157,14751,5967,8784,8406,2290,6116,68797,8104,6266,3495,4797,1838,14662,12619,9871,5888,2043,14843,13227,11544,3632,1616,12611,11933,11049,2047,678,18577,17889,17015,2490,688,69175,68075,63281,3873,105,699,22,95,1100,61,1039,1100,462,344,156,0,138,0,0
"Bedford City Public Schools, Virginia",5637,1008,173,9,21,35,46,21,41,0,835,4629,1076,10,85,153,155,327,324,22,3553,5637,1008,132,123,9,0,0,0,876,864,12,0,0,0,4629,733,721,0,12,0,0,3896,3701,94,101,0,0,35593,40039,16694,NA,NA,NA,NA,NA,40039,NA,35593,16000,32257,58233,69779,11833,NA,NA,35593,2660,44938,36050,35075,53786,60972,31909,35593,53786,13417,63472,64199,NA,44058,52115,37313,NA,NA,NA,NA,NA,52115,NA,44058,36734,59095,69779,11833,NA,NA,44058,35900,31806,64375,69601,44058,38696,51111,44058,64416,69678,61181,25824,33836,NA,NA,22813,20216,50152,22322,24982,14407,NA,NA,NA,NA,3565,25330,8381,2800,504,327,177,2296,346,1950,2519,1801,718,2021,1550,471,342,159,183,0,0,0,69,44,25,17,17,0,70,31,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065,1065,200,0,65,159,178,200,263,0,1065,0,0,0,0,0,1065,1065,585,28,452,0,2800,1690,1074,616,77,539,1110,1044,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4406,605,124,124,0,0,0,0,481,481,0,0,0,0,1440,703,656,29,18,0,0,737,737,0,0,0,0,1260,772,739,33,0,0,0,488,488,0,0,0,0,1101,841,758,0,83,0,0,260,260,0,0,0,0,1644,1048,178,39,139,8,862,596,287501700,184964000,102537700,1644,1048,316,542,96,45,34,15,596,93,235,103,129,22,14,1122,1052,1346,1644,1048,375,673,596,249,347,5778,1578,1301,368,1080,277,1607,1395,909,762,212,1356,1291,1193,367,65,369,369,369,104,0,868,745,691,242,123,6052,5938,4657,1269,0,0,0,12,114,0,114,105,77,22,0,6,0,9,0
"Bland County Public Schools, Virginia",5660,917,328,43,45,35,105,63,37,0,589,4743,837,0,20,129,294,243,151,0,3906,5570,880,235,235,0,0,0,0,645,645,0,0,0,0,4690,674,674,0,0,0,0,4016,3967,0,49,0,0,42139,42431,NA,NA,NA,NA,NA,NA,42431,NA,42139,20746,43505,68750,70069,44539,NA,NA,42139,NA,47115,45779,29904,45028,55651,37736,42139,45028,18309,NA,NA,NA,48906,48922,NA,NA,NA,NA,NA,NA,48922,NA,48906,43913,71250,70347,44539,NA,NA,48906,30875,45245,64643,97976,48906,49388,48220,48906,56667,64107,56081,28269,41167,36250,41458,23833,23333,24405,18501,19171,4113,NA,NA,NA,NA,NA,19240,NA,2480,376,243,133,2104,143,1961,2388,1922,466,2004,1588,416,244,224,20,0,0,0,22,22,0,39,39,0,79,49,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205,1205,193,90,44,117,207,310,244,0,1205,0,0,0,0,0,1205,1205,1002,27,176,0,2480,1772,1372,400,90,310,708,654,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5142,853,65,65,0,0,0,0,788,782,6,0,0,0,2044,820,815,0,5,0,0,1224,1224,0,0,0,0,1490,892,892,0,0,0,0,598,591,0,7,0,0,755,569,532,0,37,0,0,186,186,0,0,0,0,2045,857,161,78,83,25,671,1188,316487500,156527600,159959900,2045,857,509,164,69,30,63,22,1188,775,286,64,15,19,29,660,714,601,2045,857,458,399,1188,390,798,5858,1465,1164,362,1004,301,1818,1583,1295,614,235,1262,1201,1118,334,61,549,502,491,63,47,764,764,725,131,0,6795,6782,6442,332,0,0,8,0,13,0,13,5,0,0,0,0,5,8,0
"Botetourt County Public Schools, Virginia",31847,2454,761,85,68,188,143,180,88,9,1693,29393,6800,520,320,1136,1932,1600,1051,241,22593,31202,2349,584,580,4,0,0,0,1765,1700,8,57,0,0,28853,4993,4843,127,23,0,0,23860,23417,187,202,43,11,65935,65956,60673,NA,NA,NA,NA,67031,66064,76719,65935,31708,65207,76425,92868,89904,91522,35833,65935,45729,79920,77578,38986,71204,82760,50779,65935,71204,40534,66731,57566,33194,74798,74875,62212,NA,NA,NA,NA,100089,75053,87750,74798,62025,77260,92399,88942,91196,35833,74798,34828,54060,92456,94639,74798,81146,69153,74798,78103,88411,70712,51821,58809,54375,58965,45333,38707,51382,32490,32768,33603,15545,28709,NA,5205,12442,32954,17186,12825,586,357,229,12239,546,11693,15817,14161,1656,14176,12648,1528,946,892,54,35,35,0,53,47,6,100,95,5,507,444,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7166,7119,890,645,410,1004,1296,1518,1356,47,7107,179,167,19,148,12,6928,6928,5864,152,912,0,12825,10037,8682,1355,273,1082,2788,2413,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23748,2316,799,779,0,14,0,6,1517,1513,2,2,0,0,8056,4528,4462,52,9,0,5,3528,3442,15,55,16,0,7460,5161,5082,29,34,16,0,2299,2242,0,57,0,0,5916,4629,4502,39,77,11,0,1287,1276,0,11,0,0,11296,7330,1596,298,1298,13,5721,3966,2875624900,2014526600,861098300,11296,7330,1086,3434,1255,929,597,29,3966,1120,1587,563,456,181,59,1294,1339,1194,11296,7330,2537,4793,3966,1234,2732,32714,3575,3057,1495,2358,518,6257,5607,4335,2594,650,6411,6172,5675,1849,239,6689,6402,6047,933,287,9782,9600,9376,1070,182,33076,32646,31297,1241,40,46,0,22,430,45,385,430,218,139,28,0,45,0,0
"Bristol City Public Schools, Virginia",16639,3371,1033,168,101,203,198,290,59,14,2338,13268,2690,108,183,697,524,533,618,27,10578,16318,3218,854,708,98,0,48,0,2364,2206,117,9,32,0,13100,1802,1784,18,0,0,0,11298,11102,91,68,37,0,32221,32861,26432,NA,NA,NA,NA,NA,33181,NA,32221,20670,40444,40944,45329,56014,27121,55536,32221,20385,34583,42016,26256,40953,51034,29835,32221,40953,22493,43375,39306,37778,41025,42079,25194,NA,NA,NA,NA,NA,42079,NA,41025,37734,45179,44673,56588,27121,55536,41025,18724,34544,65613,52132,41025,31866,44097,41025,50615,59665,47743,22796,23438,16898,53770,22652,11824,26351,18820,19631,11937,13848,11683,NA,NA,5557,19660,11118,7674,1505,916,589,6169,590,5579,6745,4135,2610,5651,3578,2073,592,340,252,49,5,44,90,19,71,192,101,91,171,92,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3643,3620,643,321,188,727,594,587,560,23,3620,221,214,81,133,7,3399,3399,2065,373,961,0,7674,4813,3108,1705,402,1303,2861,2519,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12528,2309,678,657,21,0,0,0,1631,1618,4,6,3,0,4318,2342,2267,52,0,23,0,1976,1955,21,0,0,0,3451,2221,2130,68,23,0,0,1230,1203,17,10,0,0,2450,1765,1711,10,11,33,0,685,645,0,27,13,0,4495,2349,348,119,229,9,1992,2146,617193200,357981100,259212100,4495,2349,868,1147,152,81,86,15,2146,996,927,104,76,24,19,902,940,847,4495,2349,895,1454,2146,724,1422,17230,5118,3969,1256,3452,1149,5543,4691,3303,2311,852,3531,3022,2538,930,509,1894,1644,1469,381,250,1144,1084,1032,184,60,17713,17561,16033,1164,122,155,0,87,152,0,152,144,116,6,7,0,15,8,0
"Brunswick County Public Schools, Virginia",14353,3223,897,86,10,296,214,195,92,4,2326,11130,2390,135,89,469,574,620,389,114,8740,14031,3035,669,613,56,0,0,0,2366,2298,68,0,0,0,10996,1709,1646,35,28,0,0,9287,9117,45,81,40,4,36293,45665,25659,NA,NA,NA,NA,44792,45981,38929,36293,16682,40417,56319,50306,62500,78306,9688,36293,15100,46975,39126,28543,45534,50710,37141,36293,45534,18457,55608,55811,36071,45838,52306,33140,NA,NA,NA,NA,43542,52394,NA,45838,39719,55517,49044,68958,65556,39286,45838,26409,34137,62195,67730,45838,39196,47500,45838,52104,52045,52239,27183,39907,21731,51000,22230,11250,29737,16060,21831,11979,NA,6976,NA,10509,12608,22431,5103,5826,1462,944,518,4364,323,4041,5899,4570,1329,4829,3858,971,496,296,200,67,64,3,97,32,65,104,29,75,306,291,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3262,3224,468,330,168,378,826,404,650,38,3224,278,252,50,202,26,2946,2909,1725,102,1082,37,5826,3943,2679,1264,262,1002,1883,1691,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12168,3488,1106,1077,29,0,0,0,2382,2348,13,21,0,0,4004,2015,2015,0,0,0,0,1989,1955,1,19,4,10,3187,1863,1801,30,32,0,0,1324,1274,36,10,0,4,1489,949,926,0,14,9,0,540,502,6,1,31,0,4207,2234,311,37,274,22,1901,1973,610199800,316467700,293732100,4207,2234,1735,252,147,7,25,68,1973,1501,152,90,26,151,53,476,486,459,4207,2234,861,1373,1973,688,1285,14836,4402,3678,1289,3165,724,3817,3151,2019,1964,666,3354,2695,2404,736,659,1823,1741,1554,325,82,1440,1307,1215,262,133,17220,17075,7149,9843,0,37,0,46,145,25,120,141,64,17,22,2,36,4,0
"Buchanan County Public Schools, Virginia",22212,5540,1759,134,136,348,467,317,155,202,3781,16672,2720,116,312,405,397,718,632,140,13952,21797,5339,1265,1249,16,0,0,0,4074,4074,0,0,0,0,16458,1832,1821,0,11,0,0,14626,14327,69,133,55,42,29848,29986,8229,NA,NA,NA,NA,NA,30208,NA,29848,14802,35415,41359,42093,54143,17312,NA,29848,20741,35713,38307,24064,35487,47226,29112,29848,35487,16826,28042,17209,27829,38734,38872,NA,NA,NA,NA,NA,NA,38988,NA,38734,36422,39950,42321,53286,17312,NA,38734,20839,40751,64638,82303,38734,36678,39322,38734,43585,45580,42865,19388,24936,22813,32273,16957,11903,29545,17489,17813,8880,NA,2491,NA,3445,22598,17837,8230,9485,2187,1433,754,7298,977,6321,7130,6057,1073,6263,5392,871,611,433,178,16,16,0,114,96,18,68,68,0,58,52,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4340,4232,642,435,373,649,620,730,783,108,4232,275,227,78,149,48,3957,3957,2487,419,1051,0,9485,6711,5116,1595,426,1169,2774,2401,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17758,5654,893,893,0,0,0,0,4761,4628,0,78,55,0,6169,2607,2601,0,6,0,0,3562,3514,43,5,0,0,4467,2655,2635,9,11,0,0,1812,1812,0,0,0,0,1468,886,821,0,23,0,42,582,528,26,28,0,0,7458,2457,138,45,93,0,2319,5001,764574800,286203900,478370900,7458,2457,2076,167,80,45,50,39,5001,4165,204,41,27,5,559,280,365,228,7458,2457,1221,1236,5001,1504,3497,22874,8128,6994,1597,6184,1134,6331,5219,3194,3355,1112,4144,3902,2953,1412,242,2247,2105,1844,505,142,2024,1973,1811,355,51,23920,23794,23032,510,5,180,0,67,126,0,126,122,49,68,0,5,0,4,0
"Buckingham County Public Schools, Virginia",13129,2993,1087,137,54,204,318,278,89,7,1906,10136,2009,64,138,477,435,482,312,101,8127,12694,2812,837,794,43,0,0,0,1975,1853,92,16,12,2,9882,1478,1468,10,0,0,0,8404,8193,108,81,22,0,38648,41641,32115,NA,NA,NA,NA,NA,41641,NA,38648,23892,46681,45313,54541,41677,NA,17273,38648,87637,41465,47770,30272,42922,56723,33525,38648,42922,29866,49643,48000,NA,48786,53239,37827,NA,NA,NA,NA,NA,53239,NA,48786,41114,48966,59297,72689,NA,16534,48786,22694,35049,75301,74356,48786,37219,52708,48786,61566,69038,59034,28432,31372,30091,39044,27901,16500,35486,17167,19662,13347,4783,7725,NA,17761,5233,20032,6441,5817,1181,615,566,4636,564,4072,5413,4435,978,4189,3564,625,791,616,175,0,0,0,57,34,23,227,103,124,149,118,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3285,3238,456,467,189,543,359,644,580,47,3238,427,427,273,154,0,2811,2811,1936,142,733,0,5817,4230,2841,1389,327,1062,1587,1360,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12492,3631,1033,966,55,10,0,2,2598,2530,54,8,0,6,4619,1971,1925,24,17,5,0,2648,2593,28,22,0,5,2756,1481,1420,8,36,17,0,1275,1249,26,0,0,0,1486,1084,1054,12,18,0,0,402,333,48,0,12,9,4420,2341,462,132,330,0,1879,2079,606579700,353562200,253017600,4420,2341,1524,656,46,34,27,54,2079,1294,494,98,86,11,96,643,637,650,4420,2341,1018,1323,2079,525,1554,13585,3636,2826,1057,2226,810,3968,3354,2420,1516,614,2396,1936,1548,709,460,2015,1912,1800,279,103,1570,1499,1316,299,71,17126,16917,10686,6015,46,61,6,103,209,2,207,183,152,3,2,0,26,20,6
"Buena Vista City Public Schools, Virginia",6079,1200,358,53,0,91,113,13,88,0,842,4879,1190,78,45,252,272,240,207,96,3689,5883,1152,245,245,0,0,0,0,907,872,35,0,0,0,4731,785,785,0,0,0,0,3946,3745,78,105,18,0,36591,37684,21845,NA,NA,NA,NA,43892,38074,NA,36591,18509,59573,43456,51637,53000,NA,NA,36591,15000,45090,46083,22135,45268,54495,34258,36591,45268,21557,37833,32368,NA,49429,51161,39000,NA,NA,NA,NA,NA,51726,NA,49429,51591,45579,48913,90114,NA,NA,49429,29470,26418,67419,86875,49429,44750,59085,49429,60484,61250,60370,33906,30000,26553,45977,38108,20407,59583,18453,18999,14030,NA,NA,NA,NA,12347,19139,5474,2738,434,239,195,2304,188,2116,2957,1947,1010,2410,1699,711,206,84,122,0,0,0,161,36,125,134,82,52,46,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1419,1419,193,196,92,276,210,258,194,0,1419,256,256,123,133,0,1163,1163,846,87,230,0,2738,1720,1146,574,216,358,1018,886,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4348,999,430,412,0,0,18,0,569,569,0,0,0,0,1674,1140,1124,16,0,0,0,534,520,14,0,0,0,1027,716,605,36,75,0,0,311,301,0,10,0,0,648,438,407,31,0,0,0,210,190,0,20,0,0,1810,1091,172,71,101,0,919,719,236359900,146340700,90019200,1810,1091,230,562,129,170,0,0,719,277,237,105,51,29,20,1025,1110,921,1810,1091,282,809,719,172,547,6272,1902,1461,544,1185,441,1526,1364,1055,545,162,1398,1299,1098,378,99,951,884,824,145,67,495,495,495,22,0,6699,6574,6052,505,0,5,1,11,125,0,125,125,44,75,4,0,2,0,0
